cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,ranking_horizon,top_pct,bottom_pct,vol_window
0.4194312115825922,0.016860502080644713,0.04726493947536039,0.35672323434232334,-0.13463550066222674,126,0.3,0.3,21
0.3731304978748953,0.01525200142234584,0.048092917243624626,0.31713612516129286,-0.12971237321943774,126,0.3,0.3,63
0.36454986787606924,0.01494824490287372,0.048749098322756736,0.30663633620266734,-0.1332682674674449,126,0.3,0.3,126
0.4702001163970879,0.018567781605921096,0.061406233661083755,0.30237616767706826,-0.16863975432393064,252,0.2,0.2,21
0.34269694322586686,0.014166353239157159,0.048220332101083396,0.2937838173627774,-0.11222466867394587,252,0.3,0.3,21
0.44908182373718675,0.017864532512743336,0.06115206403669563,0.29213294422937763,-0.19244464325894506,63,0.2,0.2,21
0.4502574345227133,0.017903936648964835,0.06301156383043295,0.2841373164002906,-0.18841866421334452,252,0.2,0.2,63
0.4456610357668267,0.017749701095642223,0.06379069965929668,0.27824904242221193,-0.19486181760528432,252,0.2,0.2,126
0.32250973960627616,0.013433217103782091,0.04965212449002362,0.27054667331467697,-0.14356516733637648,252,0.3,0.3,63
0.3043863396279072,0.012765896309872238,0.0505117998118892,0.2527309729095709,-0.1518528635745815,252,0.3,0.3,126
0.2334152342477307,0.01006476739901263,0.04588492891242094,0.2193480002600183,-0.15692900919994424,63,0.3,0.3,21
0.31997145334932897,0.013340281329335957,0.06174811837205557,0.21604352781983993,-0.19409434870343523,63,0.2,0.2,63
0.28925764526590214,0.012202047027590979,0.06241222544221089,0.19550732154053974,-0.19040365217626032,63,0.2,0.2,126
0.2771049985709686,0.01174453342551618,0.06104602426878724,0.1923881786929267,-0.2502138227065204,126,0.2,0.2,21
0.17835358026366688,0.007865166747353713,0.04648084319470859,0.16921308235322824,-0.1588546778873583,63,0.3,0.3,63
0.22979791615544154,0.009923161068013053,0.06227702085196047,0.1593390456425578,-0.25494046334693177,126,0.2,0.2,63
0.3682329367826598,0.015078848669788814,0.09739702529728103,0.15481836969624327,-0.2782595139063029,252,0.1,0.1,21
0.22496737655186227,0.009733441273988674,0.06310370147141614,0.15424517178913183,-0.2604800413711401,126,0.2,0.2,126
0.36828282376360066,0.015080615392122798,0.09894587377194666,0.15241277697826025,-0.2489797589027406,252,0.1,0.1,63
0.16014740227352298,0.007116290742961162,0.04738251327039422,0.15018812325026243,-0.15725444249600407,63,0.3,0.3,126
0.3403142778261632,0.014080370684384391,0.09959738698706261,0.1413728925058384,-0.25470803207430903,252,0.1,0.1,126
0.25357470645662206,0.010846774691095629,0.10431261145293103,0.10398334908900271,-0.34675447246976854,126,0.1,0.1,63
0.25005144938374557,0.01071097143944666,0.10475060505433005,0.10225212001297078,-0.35366373270664475,126,0.1,0.1,126
0.20117995140699296,0.008788670304773039,0.10338052650728664,0.08501282206328849,-0.3515282572515187,126,0.1,0.1,21
0.13096655116207212,0.005892325152174749,0.09827354185838867,0.05995840834418626,-0.2981682288002879,63,0.1,0.1,21
0.03386134884786918,0.0015909156371793909,0.09942079116499865,0.016001840445416582,-0.32215511498791594,63,0.1,0.1,63
-0.02687682945554537,-0.0012997121953725044,0.10018815540392668,-0.012972713093004651,-0.32685165060642674,63,0.1,0.1,126
