Ticker,Date,AUM_USD,AvgVolume
IWD,2026-08-05,79741509632,2186022
IWF,2026-08-05,128899137536,5216308
IWN,2026-08-05,14527014912,677503
EFA,2026-08-05,77217693696,13247890
SCZ,2026-08-05,14441042944,1538129
EEM,2026-08-05,30315917312,28842698
TIP,2026-08-05,14696782848,2003373
SHY,2026-08-05,25358272512,3345521
TLT,2026-08-05,41099935744,25940908
LQD,2026-08-05,33113137152,28002170
HYG,2026-08-05,17626118144,33703334
BWX,2026-08-05,1346083200,531065
EMB,2026-08-05,14615079936,6199860
BIZD,2026-08-05,1631495808,3302922
BKLN,2026-08-05,7145859584,8363109
USO,2026-08-05,1880301184,7080063
DBA,2026-08-05,1152282112,1189590
GLD,2026-08-05,130053275648,6968504
