Ticker,Date,AUM_USD,AvgVolume
IWD,2025-12-27,68237467648,4048993
IWF,2025-12-27,125539360768,1567470
IWN,2025-12-27,11834733568,718043
IWO,2025-12-27,13225291776,428637
EFA,2025-12-27,68552839168,16696950
SCZ,2025-12-27,12447486976,1322451
EEM,2025-12-27,20580734976,26297850
TIP,2025-12-27,14671910912,2943220
SHY,2025-12-27,23862462464,4207777
TLT,2025-12-27,49704599552,32378274
LQD,2025-12-27,33165789184,32208532
HYG,2025-12-27,18392985600,43200779
BWX,2025-12-27,1330051968,450400
EMB,2025-12-27,15672589312,7007648
BIZD,2025-12-27,1563581440,2968882
BKLN,2025-12-27,6389860864,9893580
RWR,2025-12-27,1711217920,402522
USO,2025-12-27,925906176,5300783
DBA,2025-12-27,745886144,203724
DBB,2025-12-27,142221984,124690
GLD,2025-12-27,140826689536,15675762
