Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-13,69788860416,3861933
IWF,2026-04-13,111773540352,3311931
IWN,2026-04-13,12460733440,818546
IWO,2026-04-13,12166946816,502930
EFA,2026-04-13,71451205632,24261611
SCZ,2026-04-13,13434171392,1995791
EEM,2026-04-13,24905633792,46130053
TIP,2026-04-13,13898044416,2856103
SHY,2026-04-13,24748150784,5559895
TLT,2026-04-13,42618560512,40684385
LQD,2026-04-13,28883736576,42820503
HYG,2026-04-13,16378809344,54206708
BWX,2026-04-13,1499591552,1092058
EMB,2026-04-13,14120442880,11487340
BIZD,2026-04-13,1460942464,3993233
BKLN,2026-04-13,6260340224,24038683
USO,2026-04-13,2644515072,33338758
DBA,2026-04-13,1182587904,1080045
GLD,2026-04-13,155110817792,18860918
