Ticker,Date,AUM_USD,AvgVolume
IWD,2026-09-01,81898684416,2145930
IWF,2026-09-01,121217597440,4726817
IWN,2026-09-01,14290253824,579993
EFA,2026-09-01,77978091520,11683282
SCZ,2026-09-01,13203007488,1426128
EEM,2026-09-01,29159098368,24859003
TIP,2026-09-01,14603292672,1821801
SHY,2026-09-01,25080700928,3451407
TLT,2026-09-01,41543831552,27580539
LQD,2026-09-01,33045540864,28130533
HYG,2026-09-01,17113127936,31583290
EMB,2026-09-01,14607219712,5637765
BIZD,2026-09-01,1567428480,3179109
BKLN,2026-09-01,6743276032,7536509
USO,2026-09-01,1989134080,6020685
DBA,2026-09-01,1208748160,1088884
GLD,2026-09-01,130322653184,8742733
