Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-09,79741509632,2337055
IWF,2026-07-09,128899137536,5535655
IWN,2026-07-09,14527014912,731681
EFA,2026-07-09,77217693696,14187519
SCZ,2026-07-09,14441042944,1460949
EEM,2026-07-09,30315917312,29035059
TIP,2026-07-09,14696782848,1944091
SHY,2026-07-09,25358272512,3414429
TLT,2026-07-09,41099935744,24436467
LQD,2026-07-09,33113137152,27006757
HYG,2026-07-09,17626118144,36097439
BWX,2026-07-09,1346083200,565129
EMB,2026-07-09,14615079936,6497024
BIZD,2026-07-09,1631495808,3499372
BKLN,2026-07-09,7145859584,10098440
USO,2026-07-09,1880301184,9571345
DBA,2026-07-09,1152282112,1443786
GLD,2026-07-09,130053275648,7046395
