Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-21,74264879104,3129446
IWF,2026-05-21,124668968960,10550819
IWN,2026-05-21,13433325568,788588
EFA,2026-05-21,75608719360,20836908
SCZ,2026-05-21,14390466560,1935154
EEM,2026-05-21,28104833024,38284067
TIP,2026-05-21,14751854592,2443103
SHY,2026-05-21,25083643904,4956680
TLT,2026-05-21,42905042944,33122069
LQD,2026-05-21,30921228288,39725548
HYG,2026-05-21,16952033280,54026646
BWX,2026-05-21,1528758400,829748
EMB,2026-05-21,14508038144,10296374
BIZD,2026-05-21,1622104832,4309517
BKLN,2026-05-21,6758600192,19182240
USO,2026-05-21,1942278400,34588850
DBA,2026-05-21,1248400384,1707775
GLD,2026-05-21,153509937152,10661304
