Ticker,Date,AUM_USD,AvgVolume
IWD,2026-09-07,83947945984,2125806
IWF,2026-09-07,125535297536,4646819
IWN,2026-09-07,14440142848,563052
EFA,2026-09-07,79317098496,11364074
SCZ,2026-09-07,13235450880,1374141
EEM,2026-09-07,31207041024,23814774
TIP,2026-09-07,15010082816,1837193
SHY,2026-09-07,25913065472,3557626
TLT,2026-09-07,47046328320,27813277
LQD,2026-09-07,32042811392,28459815
HYG,2026-09-07,16186192896,31794423
EMB,2026-09-07,14916531200,5692869
BIZD,2026-09-07,1724331136,3156023
BKLN,2026-09-07,6743007744,7511163
USO,2026-09-07,1897174656,5963274
DBA,2026-09-07,1331317504,1122988
GLD,2026-09-07,152861196288,9180076
