Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-21,69788860416,3686067
IWF,2026-04-21,111773540352,3217555
IWN,2026-04-21,12460733440,823834
EFA,2026-04-21,71451205632,23401693
SCZ,2026-04-21,13434171392,1989788
EEM,2026-04-21,24905633792,44645960
TIP,2026-04-21,13898044416,2751583
SHY,2026-04-21,24748150784,5276365
TLT,2026-04-21,42618560512,37850986
LQD,2026-04-21,28883736576,41911277
HYG,2026-04-21,16378809344,54011798
BWX,2026-04-21,1499591552,1069195
EMB,2026-04-21,14120442880,11088511
BIZD,2026-04-21,1460942464,4266132
BKLN,2026-04-21,6260340224,23578314
USO,2026-04-21,2644515072,34095478
DBA,2026-04-21,1182587904,1194895
GLD,2026-04-21,155110817792,17414183
