Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-30,69788860416,3495193
IWF,2026-04-30,111773540352,12433968
IWN,2026-04-30,12460733440,807514
EFA,2026-04-30,71451205632,22469375
SCZ,2026-04-30,13434171392,1938818
EEM,2026-04-30,24905633792,41350434
TIP,2026-04-30,13898044416,2567936
SHY,2026-04-30,24748150784,5209619
TLT,2026-04-30,42618560512,35535637
LQD,2026-04-30,28883736576,40725950
HYG,2026-04-30,16378809344,54518147
BWX,2026-04-30,1499591552,807667
EMB,2026-04-30,14120442880,10733873
BIZD,2026-04-30,1460942464,4400877
BKLN,2026-04-30,6260340224,22209670
USO,2026-04-30,2644515072,34917595
DBA,2026-04-30,1182587904,1378085
GLD,2026-04-30,155110817792,13181575
