Ticker,Date,AUM_USD,AvgVolume
IWD,2026-02-10,68495839232,4295536
IWF,2026-02-10,119848017920,2108414
IWN,2026-02-10,12436412416,823385
IWO,2026-02-10,13323751424,501218
EFA,2026-02-10,74337837056,19812547
SCZ,2026-02-10,13580291072,1016100
EEM,2026-02-10,26953179136,32464396
TIP,2026-02-10,13832998912,2849603
SHY,2026-02-10,24251971584,4199518
TLT,2026-02-10,45213560832,35405555
LQD,2026-02-10,28512378880,29630163
HYG,2026-02-10,18062870528,37258442
BWX,2026-02-10,1568175488,770885
EMB,2026-02-10,16872182784,7799042
BIZD,2026-02-10,1589301376,2490567
BKLN,2026-02-10,7551427072,12782196
USO,2026-02-10,1042921600,5814798
GLD,2026-02-10,174068531200,17117936
