Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-11,75561271296,2588114
IWF,2026-06-11,132278181888,7625174
IWN,2026-06-11,13999538176,804223
EFA,2026-06-11,77424812032,17611857
SCZ,2026-06-11,14869699584,1631757
EEM,2026-06-11,30325661696,33129425
TIP,2026-06-11,15087474688,2317203
SHY,2026-06-11,25434476544,4475239
TLT,2026-06-11,42895949824,28655809
LQD,2026-06-11,29782712320,33796084
HYG,2026-06-11,16106322944,46263044
EMB,2026-06-11,14162584576,9079357
BIZD,2026-06-11,1570142976,3908936
BKLN,2026-06-11,7154355712,12846619
USO,2026-06-11,1705716992,25281339
DBA,2026-06-11,1365882880,1787466
GLD,2026-06-11,150367518720,9301707
