Ticker,Date,AUM_USD,AvgVolume
IWD,2026-09-09,83947945984,2119190
IWF,2026-09-09,125535297536,4550067
IWN,2026-09-09,14440142848,556191
EFA,2026-09-09,79317098496,11110117
SCZ,2026-09-09,13235450880,1386825
EEM,2026-09-09,31207041024,23341688
TIP,2026-09-09,15010082816,1807011
SHY,2026-09-09,25913065472,3550938
TLT,2026-09-09,47046328320,27787214
LQD,2026-09-09,32042811392,28267198
HYG,2026-09-09,16186192896,31783803
EMB,2026-09-09,14916531200,5731512
BIZD,2026-09-09,1724331136,3140254
BKLN,2026-09-09,6743007744,7460724
USO,2026-09-09,1897174656,5936425
DBA,2026-09-09,1331317504,1123885
GLD,2026-09-09,152861196288,9188414
