Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-01,69788860416,3509166
IWF,2026-05-01,111773540352,12319006
IWN,2026-05-01,12460733440,810254
EFA,2026-05-01,71451205632,22374459
SCZ,2026-05-01,13434171392,1978735
EEM,2026-05-01,24905633792,41200953
TIP,2026-05-01,13898044416,2558117
SHY,2026-05-01,24748150784,5193046
TLT,2026-05-01,42618560512,35422927
LQD,2026-05-01,28883736576,40803446
HYG,2026-05-01,16378809344,54471388
BWX,2026-05-01,1499591552,804685
EMB,2026-05-01,14120442880,10719158
BIZD,2026-05-01,1460942464,4390030
BKLN,2026-05-01,6260340224,21952116
USO,2026-05-01,2644515072,34524951
DBA,2026-05-01,1182587904,1384827
GLD,2026-05-01,155110817792,13077493
