Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-01,74264879104,2995953
IWF,2026-06-01,124668968960,9196207
IWN,2026-06-01,13433325568,806157
EFA,2026-06-01,75608719360,20220995
SCZ,2026-06-01,14390466560,1898695
EEM,2026-06-01,28104833024,37234022
TIP,2026-06-01,14751854592,2468296
SHY,2026-06-01,25083643904,4744746
TLT,2026-06-01,42905042944,32485241
LQD,2026-06-01,30921228288,38294944
HYG,2026-06-01,16952033280,52361438
BWX,2026-06-01,1528758400,782666
EMB,2026-06-01,14508038144,10218509
BIZD,2026-06-01,1622104832,4069519
BKLN,2026-06-01,6758600192,16346977
USO,2026-06-01,1942278400,33968269
DBA,2026-06-01,1248400384,1772376
GLD,2026-06-01,153509937152,9906680
