Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-07,79741509632,2357650
IWF,2026-07-07,128899137536,5581286
IWN,2026-07-07,14527014912,749080
EFA,2026-07-07,77217693696,14480952
SCZ,2026-07-07,14441042944,1460924
EEM,2026-07-07,30315917312,29676957
TIP,2026-07-07,14696782848,1975065
SHY,2026-07-07,25358272512,3525432
TLT,2026-07-07,41099935744,24281860
LQD,2026-07-07,33113137152,27657759
HYG,2026-07-07,17626118144,36825870
BWX,2026-07-07,1346083200,561795
EMB,2026-07-07,14615079936,6534063
BIZD,2026-07-07,1631495808,3449319
BKLN,2026-07-07,7145859584,10369426
USO,2026-07-07,1880301184,10805537
DBA,2026-07-07,1152282112,1477244
GLD,2026-07-07,130053275648,7110227
