Ticker,Date,AUM_USD,AvgVolume
IWD,2026-08-17,81898684416,2126556
IWF,2026-08-17,121217597440,4857625
IWN,2026-08-17,14290253824,647454
EFA,2026-08-17,77978091520,12458874
SCZ,2026-08-17,13203007488,1540462
EEM,2026-08-17,29159098368,27295311
TIP,2026-08-17,14603292672,1901387
SHY,2026-08-17,25080700928,3421998
TLT,2026-08-17,41543831552,27281880
LQD,2026-08-17,33045540864,28067080
HYG,2026-08-17,17113127936,32366358
EMB,2026-08-17,14607219712,6033375
BIZD,2026-08-17,1567428480,3175777
BKLN,2026-08-17,6743276032,7999090
USO,2026-08-17,1989134080,6732159
DBA,2026-08-17,1208748160,1032190
GLD,2026-08-17,130322653184,7502666
