Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-16,75561271296,2364300
IWF,2026-06-16,132278181888,6837782
IWN,2026-06-16,13999538176,786112
EFA,2026-06-16,77424812032,17119041
SCZ,2026-06-16,14869699584,1615546
EEM,2026-06-16,30325661696,32842965
TIP,2026-06-16,15087474688,2296792
SHY,2026-06-16,25434476544,4342638
TLT,2026-06-16,42895949824,27802452
LQD,2026-06-16,29782712320,32090173
HYG,2026-06-16,16106322944,45027166
EMB,2026-06-16,14162584576,8259926
BIZD,2026-06-16,1570142976,3752371
BKLN,2026-06-16,7154355712,12048042
USO,2026-06-16,1705716992,22212198
DBA,2026-06-16,1365882880,1693958
GLD,2026-06-16,150367518720,9273584
