Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-31,79741509632,2220632
IWF,2026-07-31,128899137536,5326030
IWN,2026-07-31,14527014912,670641
EFA,2026-07-31,77217693696,13415032
SCZ,2026-07-31,14441042944,1530616
EEM,2026-07-31,30315917312,28506054
TIP,2026-07-31,14696782848,1933762
SHY,2026-07-31,25358272512,3335904
TLT,2026-07-31,41099935744,25269356
LQD,2026-07-31,33113137152,27864101
HYG,2026-07-31,17626118144,33734695
BWX,2026-07-31,1346083200,535906
EMB,2026-07-31,14615079936,6236146
BIZD,2026-07-31,1631495808,3318877
BKLN,2026-07-31,7145859584,8598827
USO,2026-07-31,1880301184,7362837
DBA,2026-07-31,1152282112,1248200
GLD,2026-07-31,130053275648,6947672
