Ticker,Date,AUM_USD,AvgVolume
IWD,2026-08-07,81898684416,2199318
IWF,2026-08-07,121217597440,5231116
IWN,2026-08-07,14290253824,677598
EFA,2026-08-07,77978091520,13120605
SCZ,2026-08-07,13203007488,1539784
EEM,2026-08-07,29159098368,28632211
TIP,2026-08-07,14603292672,2019281
SHY,2026-08-07,25080700928,3367310
TLT,2026-08-07,41543831552,26079669
LQD,2026-08-07,33045540864,28059832
HYG,2026-08-07,17113127936,33437413
BWX,2026-08-07,1302304896,538811
EMB,2026-08-07,14607219712,6229930
BIZD,2026-08-07,1567428480,3254155
BKLN,2026-08-07,6743276032,8339616
USO,2026-08-07,1989134080,6839510
DBA,2026-08-07,1208748160,1143927
GLD,2026-08-07,130322653184,6970491
