Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-25,74264879104,3103393
IWF,2026-05-25,124668968960,10223808
IWN,2026-05-25,13433325568,803437
EFA,2026-05-25,75608719360,20851877
SCZ,2026-05-25,14390466560,1922306
EEM,2026-05-25,28104833024,37868459
TIP,2026-05-25,14751854592,2468588
SHY,2026-05-25,25083643904,4959777
TLT,2026-05-25,42905042944,33161704
LQD,2026-05-25,30921228288,39398201
HYG,2026-05-25,16952033280,53960788
BWX,2026-05-25,1528758400,840142
EMB,2026-05-25,14508038144,10366373
BIZD,2026-05-25,1622104832,4246168
BKLN,2026-05-25,6758600192,17452478
USO,2026-05-25,1942278400,35066277
DBA,2026-05-25,1248400384,1764693
GLD,2026-05-25,153509937152,10273363
