Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-26,75561271296,2232888
IWF,2026-06-26,132278181888,6161546
IWN,2026-06-26,13999538176,784862
EFA,2026-06-26,77424812032,15360575
SCZ,2026-06-26,14869699584,1517337
EEM,2026-06-26,30325661696,31114598
TIP,2026-06-26,15087474688,2045458
SHY,2026-06-26,25434476544,3827733
TLT,2026-06-26,42895949824,25282808
LQD,2026-06-26,29782712320,29051177
HYG,2026-06-26,16106322944,40109090
BWX,2026-06-26,1480568064,543519
EMB,2026-06-26,14162584576,7135233
BIZD,2026-06-26,1570142976,3600201
BKLN,2026-06-26,7154355712,10473662
USO,2026-06-26,1705716992,15425309
DBA,2026-06-26,1365882880,1595670
GLD,2026-06-26,150367518720,7729059
