Ticker,Date,AUM_USD,AvgVolume
IWD,2026-09-22,83947945984,1983900
IWF,2026-09-22,125535297536,4383263
IWN,2026-09-22,14440142848,529763
EFA,2026-09-22,79317098496,10627547
SCZ,2026-09-22,13235450880,1426341
EEM,2026-09-22,31207041024,21071120
TIP,2026-09-22,15010082816,1841290
SHY,2026-09-22,25913065472,3774828
TLT,2026-09-22,47046328320,29743696
LQD,2026-09-22,32042811392,28674931
HYG,2026-09-22,16186192896,32534942
EMB,2026-09-22,14916531200,5860574
BIZD,2026-09-22,1724331136,3094584
BKLN,2026-09-22,6743007744,7782574
USO,2026-09-22,1897174656,5818631
DBA,2026-09-22,1331317504,1198912
GLD,2026-09-22,152861196288,9121742
