Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-12,74264879104,3400695
IWF,2026-05-12,124668968960,11491548
IWN,2026-05-12,13433325568,790623
EFA,2026-05-12,75608719360,21568993
SCZ,2026-05-12,14390466560,1961950
EEM,2026-05-12,28104833024,39152955
TIP,2026-05-12,14751854592,2414726
SHY,2026-05-12,25083643904,4949496
TLT,2026-05-12,42905042944,33675488
LQD,2026-05-12,30921228288,40487241
HYG,2026-05-12,16952033280,53844736
BWX,2026-05-12,1528758400,844960
EMB,2026-05-12,14508038144,10217885
BIZD,2026-05-12,1622104832,4397268
BKLN,2026-05-12,6758600192,20427710
USO,2026-05-12,1942278400,35708461
DBA,2026-05-12,1248400384,1609173
GLD,2026-05-12,153509937152,11266851
