Ticker,Date,AUM_USD,AvgVolume
IWD,2026-09-14,83947945984,2109359
IWF,2026-09-14,125535297536,4401132
IWN,2026-09-14,14440142848,541546
EFA,2026-09-14,79317098496,10812408
SCZ,2026-09-14,13235450880,1455435
EEM,2026-09-14,31207041024,22402035
TIP,2026-09-14,15010082816,1819022
SHY,2026-09-14,25913065472,3596816
TLT,2026-09-14,47046328320,28658762
LQD,2026-09-14,32042811392,28567319
HYG,2026-09-14,16186192896,31924504
EMB,2026-09-14,14916531200,5774650
BIZD,2026-09-14,1724331136,3155404
BKLN,2026-09-14,6743007744,7448620
USO,2026-09-14,1897174656,5841396
DBA,2026-09-14,1331317504,1150625
GLD,2026-09-14,152861196288,9111861
