Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-28,69788860416,3623645
IWF,2026-04-28,111773540352,3162565
IWN,2026-04-28,12460733440,829354
IWO,2026-04-28,12166946816,508090
EFA,2026-04-28,71451205632,23044019
SCZ,2026-04-28,13434171392,1969940
EEM,2026-04-28,24905633792,43039255
TIP,2026-04-28,13898044416,2593721
SHY,2026-04-28,24748150784,5198665
TLT,2026-04-28,42618560512,36292067
LQD,2026-04-28,28883736576,41349598
HYG,2026-04-28,16378809344,54597732
BWX,2026-04-28,1499591552,851773
EMB,2026-04-28,14120442880,10833501
BIZD,2026-04-28,1460942464,4376491
BKLN,2026-04-28,6260340224,23030955
USO,2026-04-28,2644515072,34883857
DBA,2026-04-28,1182587904,1292136
GLD,2026-04-28,155110817792,15515272
