Ticker,Date,AUM_USD,AvgVolume
IWD,2026-04-29,69788860416,3555055
IWF,2026-04-29,111773540352,3127700
IWN,2026-04-29,12460733440,813308
EFA,2026-04-29,71451205632,22745221
SCZ,2026-04-29,13434171392,1992631
EEM,2026-04-29,24905633792,42215919
TIP,2026-04-29,13898044416,2585718
SHY,2026-04-29,24748150784,5199157
TLT,2026-04-29,42618560512,35811670
LQD,2026-04-29,28883736576,41018254
HYG,2026-04-29,16378809344,54567955
BWX,2026-04-29,1499591552,862496
EMB,2026-04-29,14120442880,10808178
BIZD,2026-04-29,1460942464,4397422
BKLN,2026-04-29,6260340224,22502409
USO,2026-04-29,2644515072,34863595
DBA,2026-04-29,1182587904,1331267
GLD,2026-04-29,155110817792,14495309
