Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-14,74264879104,3309267
IWF,2026-05-14,124668968960,11267985
IWN,2026-05-14,13433325568,776567
EFA,2026-05-14,75608719360,21259640
SCZ,2026-05-14,14390466560,1946173
EEM,2026-05-14,28104833024,38900526
TIP,2026-05-14,14751854592,2333462
SHY,2026-05-14,25083643904,4907637
TLT,2026-05-14,42905042944,33077280
LQD,2026-05-14,30921228288,40021098
HYG,2026-05-14,16952033280,53520455
BWX,2026-05-14,1528758400,822908
EMB,2026-05-14,14508038144,10198655
BIZD,2026-05-14,1622104832,4367413
BKLN,2026-05-14,6758600192,20089778
USO,2026-05-14,1942278400,35199588
DBA,2026-05-14,1248400384,1643034
GLD,2026-05-14,153509937152,11057731
