Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-26,74264879104,3106751
IWF,2026-05-26,124668968960,9760045
IWN,2026-05-26,13433325568,810495
EFA,2026-05-26,75608719360,20724696
SCZ,2026-05-26,14390466560,1936066
EEM,2026-05-26,28104833024,37631546
TIP,2026-05-26,14751854592,2483978
SHY,2026-05-26,25083643904,4911491
TLT,2026-05-26,42905042944,33223615
LQD,2026-05-26,30921228288,39504308
HYG,2026-05-26,16952033280,53951241
BWX,2026-05-26,1528758400,807876
EMB,2026-05-26,14508038144,10456486
BIZD,2026-05-26,1622104832,4226768
BKLN,2026-05-26,6758600192,17248793
USO,2026-05-26,1942278400,35338616
DBA,2026-05-26,1248400384,1788881
GLD,2026-05-26,153509937152,10238336
