Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-23,79741509632,2257940
IWF,2026-07-23,128899137536,5437098
IWN,2026-07-23,14527014912,666729
EFA,2026-07-23,77217693696,13593542
SCZ,2026-07-23,14441042944,1542239
EEM,2026-07-23,30315917312,28224375
TIP,2026-07-23,14696782848,1907636
SHY,2026-07-23,25358272512,3365957
TLT,2026-07-23,41099935744,24672898
LQD,2026-07-23,33113137152,27366227
HYG,2026-07-23,17626118144,33669457
BWX,2026-07-23,1346083200,575562
EMB,2026-07-23,14615079936,6279967
BIZD,2026-07-23,1631495808,3278124
BKLN,2026-07-23,7145859584,8885203
USO,2026-07-23,1880301184,7607803
DBA,2026-07-23,1152282112,1359855
GLD,2026-07-23,130053275648,6945429
