Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-23,75561271296,2284538
IWF,2026-06-23,132278181888,6351501
IWN,2026-06-23,13999538176,781027
EFA,2026-06-23,77424812032,15679661
SCZ,2026-06-23,14869699584,1586198
EEM,2026-06-23,30325661696,31597083
TIP,2026-06-23,15087474688,2130443
SHY,2026-06-23,25434476544,3944353
TLT,2026-06-23,42895949824,25920327
LQD,2026-06-23,29782712320,29768279
HYG,2026-06-23,16106322944,41703669
BWX,2026-06-23,1480568064,510874
EMB,2026-06-23,14162584576,7530348
BIZD,2026-06-23,1570142976,3608341
BKLN,2026-06-23,7154355712,10970550
USO,2026-06-23,1705716992,17337993
DBA,2026-06-23,1365882880,1625356
GLD,2026-06-23,150367518720,8045475
