Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-05,69788860416,3500238
IWF,2026-05-05,111773540352,11979755
IWN,2026-05-05,12460733440,790306
EFA,2026-05-05,71451205632,22149990
SCZ,2026-05-05,13434171392,1995026
EEM,2026-05-05,24905633792,40157266
TIP,2026-05-05,13898044416,2481110
SHY,2026-05-05,24748150784,5175033
TLT,2026-05-05,42618560512,34847035
LQD,2026-05-05,28883736576,41050616
HYG,2026-05-05,16378809344,54089316
BWX,2026-05-05,1499591552,798798
EMB,2026-05-05,14120442880,10513926
BIZD,2026-05-05,1460942464,4313605
BKLN,2026-05-05,6260340224,21319840
USO,2026-05-05,2644515072,35427221
DBA,2026-05-05,1182587904,1481013
GLD,2026-05-05,155110817792,11858943
