Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-27,74264879104,3072276
IWF,2026-05-27,124668968960,9490843
IWN,2026-05-27,13433325568,810026
EFA,2026-05-27,75608719360,20513186
SCZ,2026-05-27,14390466560,1892041
EEM,2026-05-27,28104833024,37475708
TIP,2026-05-27,14751854592,2479328
SHY,2026-05-27,25083643904,4863631
TLT,2026-05-27,42905042944,32770263
LQD,2026-05-27,30921228288,39094085
HYG,2026-05-27,16952033280,53417063
BWX,2026-05-27,1528758400,797845
EMB,2026-05-27,14508038144,10403846
BIZD,2026-05-27,1622104832,4166671
BKLN,2026-05-27,6758600192,16751746
USO,2026-05-27,1942278400,35263271
DBA,2026-05-27,1248400384,1799023
GLD,2026-05-27,153509937152,10043098
