Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-17,75561271296,2347238
IWF,2026-06-17,132278181888,6761300
IWN,2026-06-17,13999538176,784614
EFA,2026-06-17,77424812032,17049787
SCZ,2026-06-17,14869699584,1610547
EEM,2026-06-17,30325661696,32944015
TIP,2026-06-17,15087474688,2284112
SHY,2026-06-17,25434476544,4317038
TLT,2026-06-17,42895949824,27911790
LQD,2026-06-17,29782712320,31619430
HYG,2026-06-17,16106322944,44653046
EMB,2026-06-17,14162584576,8194625
BIZD,2026-06-17,1570142976,3690898
BKLN,2026-06-17,7154355712,11617907
USO,2026-06-17,1705716992,21699506
DBA,2026-06-17,1365882880,1687771
GLD,2026-06-17,150367518720,9248098
