Ticker,Date,AUM_USD,AvgVolume
IWD,2026-05-04,69788860416,3523913
IWF,2026-05-04,111773540352,12116798
IWN,2026-05-04,12460733440,796298
EFA,2026-05-04,71451205632,22178953
SCZ,2026-05-04,13434171392,2000121
EEM,2026-05-04,24905633792,40676095
TIP,2026-05-04,13898044416,2499520
SHY,2026-05-04,24748150784,5208250
TLT,2026-05-04,42618560512,35233733
LQD,2026-05-04,28883736576,41083046
HYG,2026-05-04,16378809344,54764675
BWX,2026-05-04,1499591552,800703
EMB,2026-05-04,14120442880,10561503
BIZD,2026-05-04,1460942464,4334366
BKLN,2026-05-04,6260340224,21551706
USO,2026-05-04,2644515072,35274710
DBA,2026-05-04,1182587904,1442948
GLD,2026-05-04,155110817792,12032910
