Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-14,79741509632,2223709
IWF,2026-07-14,128899137536,5286242
IWN,2026-07-14,14527014912,708767
EFA,2026-07-14,77217693696,13896170
SCZ,2026-07-14,14441042944,1543306
EEM,2026-07-14,30315917312,28953578
TIP,2026-07-14,14696782848,1902757
SHY,2026-07-14,25358272512,3339357
TLT,2026-07-14,41099935744,24587634
LQD,2026-07-14,33113137152,27275508
HYG,2026-07-14,17626118144,35523018
BWX,2026-07-14,1346083200,551044
EMB,2026-07-14,14615079936,6461909
BIZD,2026-07-14,1631495808,3414808
BKLN,2026-07-14,7145859584,9595752
USO,2026-07-14,1880301184,9072691
DBA,2026-07-14,1152282112,1436242
GLD,2026-07-14,130053275648,6995375
