Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-27,79741509632,2251649
IWF,2026-07-27,128899137536,5416432
IWN,2026-07-27,14527014912,668901
EFA,2026-07-27,77217693696,13549560
SCZ,2026-07-27,14441042944,1553673
EEM,2026-07-27,30315917312,28101063
TIP,2026-07-27,14696782848,1911452
SHY,2026-07-27,25358272512,3373583
TLT,2026-07-27,41099935744,24717008
LQD,2026-07-27,33113137152,27671554
HYG,2026-07-27,17626118144,34263700
BWX,2026-07-27,1346083200,575998
EMB,2026-07-27,14615079936,6319263
BIZD,2026-07-27,1631495808,3294850
BKLN,2026-07-27,7145859584,9006252
USO,2026-07-27,1880301184,7617783
DBA,2026-07-27,1152282112,1327562
GLD,2026-07-27,130053275648,6972786
