Ticker,Date,AUM_USD,AvgVolume
IWD,2026-06-02,74264879104,2971385
IWF,2026-06-02,124668968960,8884914
IWN,2026-06-02,13433325568,816352
EFA,2026-06-02,75608719360,19893471
SCZ,2026-06-02,14390466560,1848866
EEM,2026-06-02,28104833024,36993725
TIP,2026-06-02,14751854592,2444839
SHY,2026-06-02,25083643904,4679690
TLT,2026-06-02,42905042944,32051130
LQD,2026-06-02,30921228288,37730553
HYG,2026-06-02,16952033280,51700095
BWX,2026-06-02,1528758400,709661
EMB,2026-06-02,14508038144,10052653
BIZD,2026-06-02,1622104832,4060092
BKLN,2026-06-02,6758600192,15766314
USO,2026-06-02,1942278400,33480098
DBA,2026-06-02,1248400384,1786428
GLD,2026-06-02,153509937152,9687571
