Ticker,Date,AUM_USD,AvgVolume
IWD,2026-07-10,79741509632,2342714
IWF,2026-07-10,128899137536,5521601
IWN,2026-07-10,14527014912,731677
EFA,2026-07-10,77217693696,14169727
SCZ,2026-07-10,14441042944,1510621
EEM,2026-07-10,30315917312,29019595
TIP,2026-07-10,14696782848,1926363
SHY,2026-07-10,25358272512,3363268
TLT,2026-07-10,41099935744,24525083
LQD,2026-07-10,33113137152,27035539
HYG,2026-07-10,17626118144,35915088
BWX,2026-07-10,1346083200,548622
EMB,2026-07-10,14615079936,6454465
BIZD,2026-07-10,1631495808,3480391
BKLN,2026-07-10,7145859584,9863345
USO,2026-07-10,1880301184,9397449
DBA,2026-07-10,1152282112,1444545
GLD,2026-07-10,130053275648,7022788
