timestamp_utc,equity,gross_exposure,dry_run,n_orders
2025-12-27T11:01:02.914065+00:00,100000.0,1.0,True,9
2026-02-09T21:49:00.024252+00:00,100000.0,1.0,True,9
2026-02-09T21:53:15.408306+00:00,100000.0,1.0,True,9
2026-02-09T22:09:03.008949+00:00,100000.0,1.0,True,9
2026-02-09T22:10:28.010349+00:00,100000.0,1.0,True,9
2026-02-09T22:17:13.002448+00:00,100000.0,1.0,False,5
2026-02-10T18:20:04.398317+00:00,99636.12,0.98,False,4
2026-04-07T22:04:12.466421+00:00,93562.08,0.98,False,7
2026-04-08T22:07:03.981744+00:00,94093.82,0.98,False,4
2026-04-09T22:05:50.117241+00:00,94536.5,0.98,False,4
2026-04-10T22:03:17.332257+00:00,94225.4,0.98,False,1
2026-04-13T22:09:42.531191+00:00,94965.93,0.98,False,8
2026-04-14T22:10:56.740631+00:00,95469.81,0.98,False,6
2026-04-15T22:10:06.937336+00:00,95140.78,0.98,False,1
2026-04-16T22:06:35.508945+00:00,95360.75,0.98,False,7
2026-04-17T22:05:51.587972+00:00,95082.33,0.98,False,3
2026-04-20T22:08:38.531158+00:00,95426.71,0.98,False,0
2026-04-21T22:08:14.715102+00:00,95282.55,0.98,False,3
2026-04-22T22:10:32.606231+00:00,95754.11,0.98,False,6
2026-04-23T22:08:14.010930+00:00,95661.25,0.98,False,3
2026-04-24T22:09:16.483079+00:00,95901.17,0.98,False,0
2026-04-27T22:13:24.515405+00:00,96207.21,0.98,False,7
2026-04-28T22:31:20.968485+00:00,95930.05,0.98,False,5
2026-04-29T22:30:58.504583+00:00,96285.78,0.98,False,8
2026-04-30T22:28:03.294818+00:00,96884.41,0.98,False,6
2026-05-01T22:12:06.875111+00:00,96587.61,0.98,False,1
2026-05-04T22:32:50.504405+00:00,96131.35,0.98,False,0
2026-05-05T22:31:07.722617+00:00,96770.0,0.98,False,0
2026-05-06T22:13:38.744750+00:00,97533.77,0.98,False,0
2026-05-07T22:34:47.653046+00:00,97136.56,0.98,False,0
2026-05-08T22:29:45.838980+00:00,97540.52,0.98,False,1
2026-05-11T22:32:57.177692+00:00,97843.22,0.98,False,0
2026-05-12T22:41:11.509576+00:00,97461.81,0.98,False,1
2026-05-13T22:45:50.879909+00:00,97522.95,0.98,False,1
2026-05-14T22:36:46.063098+00:00,97490.7,0.98,False,0
2026-05-15T22:30:04.745194+00:00,96313.03,0.98,False,0
2026-05-18T22:32:29.601727+00:00,96416.39,0.98,False,0
2026-05-19T22:44:44.205453+00:00,95808.27,0.98,False,1
2026-05-20T22:51:58.377365+00:00,96528.54,0.98,False,0
2026-05-21T22:49:07.617515+00:00,96708.08,0.98,False,0
2026-05-22T22:33:43.067382+00:00,96760.04,0.98,False,7
2026-05-25T22:34:17.989107+00:00,96601.73,0.98,False,7
2026-05-26T22:48:39.863033+00:00,97303.7,0.98,False,7
2026-05-27T22:56:19.952063+00:00,96744.15,0.98,False,0
2026-05-28T22:52:21.823581+00:00,97075.47,0.98,False,0
2026-05-29T22:50:47.593279+00:00,97095.76,0.98,False,0
2026-06-01T23:13:37.136400+00:00,97271.83,0.98,False,0
2026-06-02T23:15:31.994893+00:00,98016.45,0.98,False,0
2026-06-03T23:17:47.187644+00:00,97277.95,0.98,False,0
2026-06-04T22:53:15.554302+00:00,97423.35,0.98,False,0
2026-06-05T22:41:15.489078+00:00,94657.34,0.98,False,7
2026-06-08T22:56:02.749446+00:00,95313.42,0.98,False,3
2026-06-09T22:57:41.158746+00:00,94830.84,0.98,False,7
2026-06-10T23:07:31.057059+00:00,93957.87,0.98,False,4
2026-06-11T23:06:17.999458+00:00,95578.53,0.98,False,1
2026-06-15T23:16:34.743472+00:00,96360.35,0.98,False,3
2026-06-16T23:03:37.691297+00:00,95704.12,0.98,False,4
2026-06-17T22:57:39.953238+00:00,94872.25,0.98,False,0
2026-06-18T23:17:57.794446+00:00,95471.65,0.98,False,5
2026-06-22T23:01:24.237945+00:00,95328.06,0.98,False,1
2026-06-23T22:46:28.452789+00:00,93886.1,0.98,False,0
2026-06-24T22:47:06.534060+00:00,93155.55,0.98,False,0
2026-06-25T22:55:20.214486+00:00,93795.77,0.98,False,0
2026-06-26T22:44:49.162868+00:00,93980.81,0.6041825452562108,False,7
2026-06-29T22:36:33.922073+00:00,93647.74,0.6039142269255486,False,0
2026-06-30T22:49:47.510114+00:00,93686.1,0.6038687941001777,False,0
2026-07-01T22:46:39.983103+00:00,93343.63,0.6035907352892588,False,6
2026-07-02T22:36:26.240890+00:00,93613.99,0.6029273330078898,False,0
2026-07-03T22:33:10.609954+00:00,93598.77,0.6029411175091891,False,0
2026-07-06T22:45:57.307953+00:00,93977.71,0.6021294829580364,False,0
2026-07-07T22:36:43.845538+00:00,93732.66,0.909637374801116,False,7
2026-07-08T22:32:33.691349+00:00,93709.12,0.9148067233387536,False,0
2026-07-09T22:49:41.148016+00:00,93923.97,0.9176017677649208,False,0
2026-07-10T22:32:17.108151+00:00,93876.51,0.9192816585963999,False,0
2026-07-13T22:27:08.648232+00:00,93652.73,0.9290516843157247,False,2
2026-07-14T22:30:06.687677+00:00,94192.95,0.9281533398873216,False,3
2026-07-15T22:29:27.638449+00:00,94472.37,0.9283683821831845,False,0
2026-07-16T22:28:52.125555+00:00,94019.78,0.9257508036252154,False,6
2026-07-17T22:20:42.874413+00:00,94268.96,0.9257061389818612,False,0
2026-07-20T22:30:20.659356+00:00,94156.77,0.9279248048475115,False,4
