Date,BIZD,BKLN,BWX,EEM,EFA,EMB,GLD,HYG,IWD,IWF,IWN,IWO,LQD,SCZ,SHY,TIP,TLT,USO
2005-01-03,,,,14.562674522399902,28.951858520507812,,43.02000045776367,,40.66414260864258,38.59117889404297,42.24522018432617,56.88044738769531,48.062198638916016,,54.725555419921875,55.21250915527344,44.88724136352539,
2005-01-04,,,,14.114316940307617,28.3968505859375,,42.7400016784668,,40.3297119140625,38.05223846435547,41.480953216552734,55.439109802246094,47.792423248291016,,54.604549407958984,54.83143997192383,44.41682052612305,
2005-01-05,,,,13.941532135009766,28.378658294677734,,42.66999816894531,,40.075782775878906,37.79859924316406,40.65243148803711,54.47826385498047,47.83098220825195,,54.61800765991211,54.768836975097656,44.654541015625,
2005-01-06,,,,13.932048797607422,28.378658294677734,,42.150001525878906,,40.280181884765625,38.05223846435547,40.75654220581055,54.74422073364258,47.865203857421875,,54.64492416381836,54.857566833496094,44.684871673583984,
2005-01-07,,,,13.959024429321289,28.251272201538086,,41.84000015258789,,40.13152313232422,38.044315338134766,40.317935943603516,54.14366912841797,47.84381103515625,,54.651649475097656,54.71664810180664,44.78608703613281,
2005-01-10,,,,13.976522445678711,28.378658294677734,,41.95000076293945,,40.292545318603516,38.28208541870117,40.721134185791016,54.684139251708984,47.762481689453125,,54.61800765991211,54.753204345703125,44.85686492919922,
2005-01-11,,,,13.950278282165527,28.324058532714844,,42.209999084472656,,40.038639068603516,38.02052307128906,40.35117721557617,54.06644058227539,47.873783111572266,,54.6314811706543,54.80536651611328,45.11991882324219,
2005-01-12,,,,14.121604919433594,28.5515193939209,,42.599998474121094,,40.13152313232422,38.186981201171875,40.42869567871094,54.14366912841797,47.92090606689453,,54.63819122314453,54.998504638671875,45.18061447143555,
2005-01-13,,,,14.063281059265137,28.30586814880371,,42.599998474121094,,39.939544677734375,37.77482604980469,40.22931671142578,54.083614349365234,48.04932403564453,,54.70541000366211,55.13943862915039,45.61564254760742,
2005-01-14,,,,14.314799308776855,28.442340850830078,,42.31999969482422,,40.17490005493164,37.98882293701172,40.663516998291016,54.74422073364258,48.1049919128418,,54.67848205566406,55.1446418762207,45.61054992675781,
2005-01-18,,,,14.289280891418457,28.46417999267578,,42.31999969482422,,40.5836181640625,38.22659683227539,41.135372161865234,55.473445892333984,48.13066482543945,,54.65834426879883,55.1446418762207,45.76233673095703,
2005-01-19,,,,14.092440605163574,28.16938591003418,,42.2599983215332,,40.255393981933594,37.814449310302734,40.66132736206055,54.58119583129883,48.2034912109375,,54.66504669189453,55.09244918823242,45.89385223388672,
2005-01-20,,,,13.917473793029785,27.98196029663086,,42.25,,40.02005386352539,37.592533111572266,40.36667251586914,54.117923736572266,48.11785125732422,,54.712127685546875,55.118568420410156,45.98490905761719,
2005-01-21,,,,14.10702133178711,28.09295654296875,,42.7400016784668,,39.834259033203125,37.19624328613281,40.30685043334961,54.01496887207031,48.22489929199219,,54.7658805847168,55.196876525878906,46.03544998168945,
2005-01-24,,,,14.085147857666016,28.142086029052734,,42.77000045776367,,39.8837890625,36.998085021972656,40.058738708496094,53.277156829833984,48.31055450439453,,54.732181549072266,55.290802001953125,46.23274230957031,
2005-01-25,,,,14.212735176086426,28.15118408203125,,42.2400016784668,,39.920963287353516,37.243778228759766,40.118553161621094,53.448726654052734,48.14780807495117,,54.712127685546875,54.935848236083984,45.797725677490234,
2005-01-26,,,,14.420514106750488,28.491479873657227,,42.689998626708984,,39.99528503417969,37.39439392089844,40.55498123168945,54.512569427490234,48.16493606567383,,54.69196701049805,55.003719329833984,45.883731842041016,
2005-01-27,,,,14.434366226196289,28.5333309173584,,42.619998931884766,,40.0262451171875,37.457794189453125,40.72773742675781,54.735626220703125,48.062198638916016,,54.67848205566406,54.988037109375,45.797725677490234,
2005-01-28,,,,14.447480201721191,28.46964454650879,,42.689998626708984,,39.9581184387207,37.338890075683594,40.62363815307617,54.50399398803711,48.34052276611328,,54.70541000366211,55.20205307006836,46.258026123046875,
2005-01-31,,,,14.637773513793945,28.60611915588379,,42.220001220703125,,40.38545608520508,37.63214874267578,41.082210540771484,55.25039291381836,48.34052276611328,,54.698631286621094,55.233341217041016,46.38957214355469,
2005-02-01,,,,14.763163566589355,28.784448623657227,,42.099998474121094,,40.73846435546875,37.790672302246094,41.32588577270508,55.636444091796875,48.33060073852539,,54.712764739990234,55.14037322998047,46.31592559814453,
2005-02-02,,,,14.809819221496582,28.824487686157227,,42.15999984741211,,40.89947509765625,37.94127655029297,41.63602066040039,56.005367279052734,48.287628173828125,,54.69260787963867,55.046268463134766,46.42253875732422,
2005-02-03,,,,14.794506072998047,28.66799545288086,,41.68000030517578,,40.83135223388672,37.73520278930664,41.485389709472656,55.790870666503906,48.34778594970703,,54.65890121459961,54.952178955078125,46.397178649902344,
2005-02-04,,,,15.025619506835938,28.815385818481445,,41.470001220703125,,41.28964614868164,38.17902755737305,41.95945358276367,56.46864700317383,48.502540588378906,,54.712764739990234,55.307621002197266,47.0419921875,
2005-02-07,,,,15.07300853729248,28.633411407470703,,41.27000045776367,,41.202945709228516,38.12356948852539,41.89741134643555,56.580177307128906,48.519752502441406,,54.69934844970703,55.490604400634766,47.39234161376953,
2005-02-08,,,,15.10216999053955,28.633411407470703,,41.2599983215332,,41.30203628540039,38.23453140258789,41.92399215698242,56.56302261352539,48.69593811035156,,54.67912673950195,55.76237487792969,47.66142654418945,
2005-02-09,,,,15.053318977355957,28.56063461303711,,41.310001373291016,,41.04190444946289,37.743125915527344,41.279361724853516,55.216060638427734,48.86785888671875,,54.78011703491211,56.06562805175781,47.788394927978516,
2005-02-10,,,,15.126226425170898,28.85724639892578,,41.75,,41.28346633911133,37.901641845703125,41.38125991821289,55.3361701965332,48.69593811035156,,54.73972702026367,55.74149703979492,47.1435546875,
2005-02-11,,,,15.273494720458984,29.05740737915039,,42.08000183105469,,41.506412506103516,38.17902755737305,41.92399215698242,56.262718200683594,48.55409622192383,,54.712764739990234,55.76763916015625,47.113059997558594,
2005-02-14,,,,15.382845878601074,29.28305435180664,,42.54999923706055,,41.53117370605469,38.242462158203125,41.93950653076172,56.228416442871094,48.63575744628906,,54.68582534790039,55.97675323486328,47.26034164428711,
2005-02-15,,,,15.41930103302002,29.479589462280273,,42.58000183105469,,41.69221496582031,38.408905029296875,41.93729019165039,56.21982955932617,48.56270980834961,,54.69260787963867,55.68398666381836,47.021690368652344,
